lake,lake_lat,lake_long
RUDYARD RESR WFD + FWF STILLWATERS,53.122,-2.075
Hulingen,57.478,15.856
"Roxen Li15, centrala delen",58.514,15.640
ROCKY ISLAND LAKE (E59): RAMP CM2 - COMPOSITE - (AB07JF0060),59.133,-115.133
ROCK LAKE - COMPOSITE - (AB07AC0160),53.460,-118.269
ROCK ISLAND LAKE - COMPOSITE - (AB07CB0800),55.492,-113.383
ROCHE LAKE - COMPOSITE - (AB07BK0300),54.766,-114.906
REESOR LAKE RESERVOIR - COMPOSITE - (AB11AB0030),49.667,-110.117
RED DEER LAKE - EUPHOTIC COMPOSITE - (AB05FA2070),52.726,-113.066
RAY LAKE - COMPOSITE - (AB07HC0110),56.663,-119.124
RATTLESNAKE (SAUDER) LAKE - COMPOSITE - (AB05AH0120),50.000,-110.967
Rasjön mitt,57.582,13.904
Ramsjön,60.076,17.438
Rammsjön,58.000,16.550
Ralången,58.000,15.000
"Råbelövssjön, södra delen",56.089,14.223
RABBIT LAKE (L16) - COMPOSITE - (AB07DB0160),57.037,-112.945
Huskvarna,57.803,14.265
R BLITHE - BLITHFIELD RESERVOIR CAUSEWAY,52.812,-1.915
Prospect Point,53.920,-106.105
PRIMROSE LAKE - SOUTH BASIN COMPOSITE - (AB06AF0200),54.788,-110.031
PRIMROSE LAKE - NORTH BASIN COMPOSITE - (SA06AF0130),54.901,-109.634
PRESTON DOCKS LARGE BASIN SPT 1,53.758,-2.750
Prästfjärden,59.427,17.427
POLICE OUTPOST LAKE - COMPOSITE - (AB05AE0090),49.010,-113.455
PINEHURST LAKE - MAIN - COMPOSITE - (AB06AB0260),54.659,-111.467
PINE LAKE - SOUTH SIDE REGION COMPOSITE - (AB05CE0910),52.068,-113.410
PINE LAKE - NORTH SIDE REGION COMPOSITE - (AB05CE0980),52.068,-113.410
PINE LAKE - MIDDLE REGION COMPOSITE - (AB05CE0950),52.068,-113.410
PINE LAKE - COMPOSITE - (AB05CE0920),52.103,-113.454
PIGEON LAKE - COMPOSITE - (AB05FA0480),53.000,-114.017
PIERCE LAKE - COMPOSITE - (SA06AF0230),54.509,-109.722
PETER'S DUGOUT - COMPOSITE - (AB07BE0430),54.567,-113.550
Peter Lake,46.250,-89.500
PEERLESS LAKE - COMPOSITE - (AB07JB0175),56.664,-114.680
Paul Lake,46.250,-89.500
PARK LAKE - COMPOSITE - (AB05AD1404),49.806,-112.928
PAKOWKI LAKE - WEST OF BERM COMPOSITE - (AB05AF0490),49.375,-111.063
PAKOWKI LAKE - COMPOSITE - (AB05AF0060),49.333,-110.917
PAKOWKI LAKE - CENTRAL ZONE COMPOSITE - (AB05AF0460),49.346,-110.928
PAINE LAKE - COMPOSITE - (AB05AD0870),49.109,-113.648
"Ottnaren, djupområde mellan Lill-ön - Vackervalludden",60.493,16.624
OTASAN LAKE (L23): RAMP BM9 - COMPOSITE - (AB07KF0200),57.707,-112.388
OSTER LAKE - COMPOSITE - (AB05EB5190),53.627,-112.912
"Osbysjön, Norra Osbysjön",56.375,13.997
"Orranäsasjön, profundal",56.847,15.707
ORLOFF LAKE - COMPOSITE - (AB07CB0820),55.389,-113.488
"Oppmannasjön, Arkelstorpsviken",56.161,14.279
Oppmannasjön,56.083,14.346
Ontario,43.314,-79.751
Oneida,43.205,-75.923
OIS LAKE (L17) - COMPOSITE - (AB07JB0130),57.187,-113.570
Octopus,50.617,-99.924
OAKLEY LAKE - COMPOSITE - (AB07BE0640),54.783,-112.746
"Nysockensjön, Storön",59.747,12.473
NORTH WABASCA LAKE - COMPOSITE - (AB07JA0210),56.064,-113.937
NORTH TEA LAKE - COMPOSITE - (AB07BK0160),54.797,-115.025
NORTH LELAND LAKE - COMPOSITE - (AB07NB0010),59.955,-111.009
NORTH BUCK LAKE - COMPOSITE - (AB06AA0340),54.684,-112.566
Norrsjön,59.810,15.119
"NorraVänern, Lunnerviken",59.333,13.874
"NorraVänern, Ölmeviken",59.335,13.990
Norra Vallsjön,57.473,13.746
"Norra Vänern, Grumsfjorden, O Dragön",59.330,13.061
"Norra Vänern, Byviken",59.066,12.867
Känkästjärnen,62.604,16.898
Norra Örken,57.148,15.004
Klasbädarna NV,59.216,13.198
NONAME( MOHAWK) LAKE - COMPOSITE - (AB07BE0390),54.617,-113.317
NONAME (TONN) LAKE - COMPOSITE - (AB07BE0760),54.633,-113.583
NONAME (TEEN) LAKE - COMPOSITE - (AB07BE0660),54.483,-113.717
NONAME (S. BAPTISTE) LAKE - COMPOSITE - (AB07BE0780),54.683,-113.600
NONAME (ONE) LAKE - COMPOSITE - (AB07BE0680),54.383,-113.833
NONAME (NORTH NARRAU) LAKE - COMPOSITE - (AB07BE0770),54.650,-113.633
Noen,57.983,14.732
NIPISI LAKE - COMPOSITE - (AB07JA0030),55.790,-114.953
NINA LAKE (L93) - COMPOSITE - (AB07HD0030),57.423,-117.298
Klintsjön,57.131,14.697
Klosjön,57.432,13.698
Navarn,62.595,16.706
NARROW LAKE - COMPOSITE - (AB07BC0805),54.614,-113.623
NAMUR LAKE (L18): RAMP BM2 - COMPOSITE - (AB07DA1890),57.444,-112.621
NAMAKA LAKE - COMPOSITE - (AB05BM0780),50.933,-113.217
NAKAMUN LAKE - COMPOSITE - (AB07BB0300),53.883,-114.200
Näfssjön,58.737,15.866
Knutsnabben,56.793,13.408
N. Yngern,59.170,17.409
N. Särnamannasjön,61.588,12.743
N. Barken,57.213,12.628
"N Dellen, D80",61.861,16.773
MYERS LAKE - COMPOSITE - (AB07NB0050),59.687,-111.268
MUSREAU LAKE - COMPOSITE - (AB07GB0050),54.547,-118.618
MURIEL LAKE - WHOLE LAKE COMPOSITE - (AB06AC0290),54.067,-110.725
