,lake,tsi,trophic_status,lake_lat,lake_long
219,Oak mere,66.16212114,eutrophic,53.205,-2.639
220,Oak mere -intersection,66.30535115,eutrophic,53.202,-2.636
221,Ormesby broad,62.15939412,eutrophic,52.682,1.647
222,Ormesby little broad,63.94044553,eutrophic,52.669,1.641
223,Octopus lake,62.4192692,eutrophic,50.617,-99.924
224,Oppmannasjön,57.61145877,eutrophic,56.083,14.346
225,Oppmannasjön -arkelstorpsviken,67.93686878,eutrophic,56.161,14.279
226,Pakowki lake W.,69.24483649,eutrophic,49.375,-111.063
227,Pigeon lake,58.9480567,eutrophic,53,-114.017
228,Pine lake,59.61318351,eutrophic,52.103,-113.454
229,Pine lake -middle,61.9425825,eutrophic,52.068,-113.41
230,Pine lake -north,61.28397028,eutrophic,52.068,-113.41
231,Pine lake -south,61.99364075,eutrophic,52.068,-113.41
232,Primrose lake -north basin,61.45319063,eutrophic,54.901,-109.634
233,Peter Lake,53.15246391,eutrophic,46.25,-89.5
234,Rockford lake,52.93999207,eutrophic,50.873,-1.78
235,Rockland broad,55.20320456,eutrophic,52.593,1.442
236,Rollesby broad,62.43096576,eutrophic,52.678,1.641
237,Rostherne mere,64.97233236,eutrophic,53.352,-2.38
238,Rostherne mere -outlet,58.50407005,eutrophic,53.353,-2.372
239,Rutland water -hambleton south,56.36719051,eutrophic,52.66,-0.682
240,Rutland water -tower,51.78578155,eutrophic,52.656,-0.624
241,Rutland water -north buoy,52.55869007,eutrophic,52.666,-0.672
242,Rutland water -south buoy,53.60118543,eutrophic,52.648,-0.659
243,Ridöfjärden,56.90093318,eutrophic,59.52,16.613
244,Roxen -centrala delen,54.07823344,eutrophic,58.514,15.64
245,Roxen S.,55.51958852,eutrophic,58.458,15.62
246,Barken S.,50.89659807,eutrophic,60.009,15.651
247,Saskatoon lake,66.21996752,eutrophic,55.217,-119.088
248,Sherborne lake,69.99556067,eutrophic,50.948,-2.503
249,Shorncliffe lake,52.27086913,eutrophic,52.469,-110.868
250,Silverwings lake -wraysbury,53.64828774,eutrophic,51.45,-0.549
251,Skeleton lake -south basin,59.56405972,eutrophic,54.615,-112.728
252,Skelsmergh tarn,58.43700713,eutrophic,54.363,-2.719
253,Slapton ley,65.74475553,eutrophic,50.285,-3.651
254,Smoke lake -composite,62.18837687,eutrophic,54.367,-116.933
255,Snails lake,56.05809286,eutrophic,50.863,-1.787
256,Steele (cross) lake,68.39600376,eutrophic,54.65,-113.767
257,Stewartby lake,53.71967264,eutrophic,52.072,-0.526
258,Sturgeon lake -main basin,65.346961,eutrophic,55.103,-117.538
259,Sturgeon lake -west arm,66.717856,eutrophic,55.109,-117.529
260,Sunbiggin tarn,58.97472324,eutrophic,54.464,-2.501
261,Salen,60.54431493,eutrophic,56.865,14.556
262,Salen -längst norrut,57.63941213,eutrophic,56.892,14.558
263,Sigtunafjärden,55.87469745,eutrophic,59.612,17.721
264,Skarven,56.71287933,eutrophic,59.554,17.807
265,South lake,57.18905798,eutrophic,50.646,-100.011
266,St. Aspen,54.28287313,eutrophic,59.142,16.136
267,Stockholm,58.79447133,eutrophic,59.303,18.077
268,Storhjälmaren,53.10797578,eutrophic,59.215,15.735
269,Strängnäsbron,52.589255,eutrophic,59.384,17.019
270,Stäket,51.38014564,eutrophic,59.895,18.909
271,Stäketbron,51.2540787,eutrophic,57.905,16.415
272,Svinnegarnsviken,58.4840188,eutrophic,59.568,17.071
273,Sätoftasjön,65.04416327,eutrophic,55.891,13.552
274,Tabley mere,67.88985845,eutrophic,53.291,-2.418
275,Talkin tarn,58.51773194,eutrophic,54.925,-2.711
276,Tallington lakes,51.47087256,eutrophic,52.672,-0.366
