lake,tsi,trophic_status
Waynewood lake,54.50233668,eutrophic
West long lake,51.76312934,eutrophic
Windermere -south basin,51.78342413,eutrophic
Wingra,58.85549072,eutrophic
Ymsen,62.07527446,eutrophic
Hamilton harbour,55.27744659,eutrophic
Taihu,67.97317403,eutrophic
Älgsjön,56.20414061,eutrophic
Öljaren,57.77743176,eutrophic
Östra Ringsjön,63.46402669,eutrophic
Bergundasjön N.,70.87371173,hypereutrophic
Betley mere,72.70166675,hypereutrophic
Betley mere jetty,71.64087758,hypereutrophic
Fordwich lake,73.38877769,hypereutrophic
Fjällfotasjön,71.26143801,hypereutrophic
Hardley flood,77.00092023,hypereutrophic
Hoveton little broad E.,71.13970701,hypereutrophic
Hemfjärden,73.96049424,hypereutrophic
Lac la nonne,70.43970912,hypereutrophic
Lower mann lake,75.0285683,hypereutrophic
Mellanfjärden,74.85153176,hypereutrophic
North point lake,73.1250321,hypereutrophic
Pakowki lake -central,80.20537554,hypereutrophic
Ranworth broad,71.21743246,hypereutrophic
Sandy lake -north basin,78.80672919,hypereutrophic
Sandy lake -south basin,73.453847,hypereutrophic
Shearwater lake outflow,72.50205207,hypereutrophic
South walsham broad,75.87580187,hypereutrophic
South walsham broad -edge,80.56266548,hypereutrophic
Stanborough sailing lake,75.68885471,hypereutrophic
Thompson water -control 1B,72.881313,hypereutrophic
Thompson water -control 2B,72.98205666,hypereutrophic
Kasumigaura,74.97970703,hypereutrophic
