,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,lake
6704,1964-08-24,1964,8,24,237,46,,8.8,,,,,,,46.0,,,16.0,,,,,,Belhalm tarn
45683,1964-08-24,1964,8,24,237,51,,10.61,,,,,,,120.0,,,15.95,,,,,,Windermere -north basin
47544,1964-08-31,1964,8,31,244,51,,12.3,,,,,,,79.0,,,16.55,,,,,,Windermere -south basin
45684,1964-08-31,1964,8,31,244,51,,8.95,,,,,,,190.0,,,15.7,,,,,,Windermere -north basin
6705,1964-08-31,1964,8,31,244,46,,13.8,,,,,,,65.0,,,18.0,,,,,,Belhalm tarn
15938,1964-08-31,1964,8,31,244,46,,45.76,,,,,,,97.0,,,16.5,,,,,,Esthwaite water
47545,1964-09-07,1964,9,7,251,51,,13.53,,,,,,,30.0,,,16.55,,,,,,Windermere -south basin
45685,1964-09-07,1964,9,7,251,51,,7.76,,,,,,,120.0,,,16.05,,,,,,Windermere -north basin
6706,1964-09-07,1964,9,7,251,46,,18.5,,,,,,,79.0,,,16.9,,,,,,Belhalm tarn
15939,1964-09-07,1964,9,7,251,46,,72.12,,,,,,,46.0,,,16.8,,,,,,Esthwaite water
47546,1964-09-14,1964,9,14,258,51,,15.43,,,,,,,46.0,,,15.95,,,,,,Windermere -south basin
15940,1964-09-14,1964,9,14,258,46,,60.54,,,,,,,35.0,,,18.5,,,,,,Esthwaite water
6707,1964-09-14,1964,9,14,258,46,,22.7,,,,,,,35.0,,,15.4,,,,,,Belhalm tarn
45686,1964-09-14,1964,9,14,258,51,,8.22,,,,,,,120.0,,,15.55,,,,,,Windermere -north basin
47547,1964-09-21,1964,9,21,265,51,,12.48,,,,,,,69.0,,,15.15,,,,,,Windermere -south basin
15941,1964-09-21,1964,9,21,265,46,,43.74,,,,,,,69.0,,,14.1,,,,,,Esthwaite water
45687,1964-09-21,1964,9,21,265,51,,8.22,,,,,,,130.0,,,14.35,,,,,,Windermere -north basin
6708,1964-09-21,1964,9,21,265,46,,17.1,,,,,,,120.0,,,13.3,,,,,,Belhalm tarn
45688,1964-09-28,1964,9,28,272,51,,8.58,,,,,,,130.0,,,14.25,,,,,,Windermere -north basin
6709,1964-09-28,1964,9,28,272,46,,16.9,,,,,,,100.0,,,13.5,,,,,,Belhalm tarn
15942,1964-09-28,1964,9,28,272,46,,33.04,,,,,,,90.0,,,13.9,,,,,,Esthwaite water
47548,1964-09-28,1964,9,28,272,51,,12.34,,,,,,,90.0,,,14.6,,,,,,Windermere -south basin
15943,1964-10-06,1964,10,6,280,46,,16.28,,,,,,,65.0,,,13.5,,,,,,Esthwaite water
45689,1964-10-06,1964,10,6,280,51,,6.57,,,,,,,130.0,,,13.7,,,,,,Windermere -north basin
47549,1964-10-06,1964,10,6,280,51,,9.46,,,,,,,83.0,,,14.1,,,,,,Windermere -south basin
6710,1964-10-06,1964,10,6,280,46,,12.2,,,,,,,97.0,,,12.6,,,,,,Belhalm tarn
45690,1964-10-13,1964,10,13,287,51,,5.7,,,,,,,180.0,,,11.8,,,,,,Windermere -north basin
47550,1964-10-13,1964,10,13,287,51,,6.79,,,,,,,210.0,,,12.7,,,,,,Windermere -south basin
15944,1964-10-13,1964,10,13,287,46,,8.46,,,,,,,170.0,,,11.6,,,,,,Esthwaite water
6711,1964-10-13,1964,10,13,287,46,,6.5,,,,,,,170.0,,,10.4,,,,,,Belhalm tarn
47551,1964-10-20,1964,10,20,294,51,,8.14,,,,,,,150.0,,,12.15,,,,,,Windermere -south basin
15945,1964-10-20,1964,10,20,294,46,,6.54,,,,,,,140.0,,,11.0,,,,,,Esthwaite water
45691,1964-10-20,1964,10,20,294,51,,4.93,,,,,,,230.0,,,11.35,,,,,,Windermere -north basin
6712,1964-10-20,1964,10,20,294,46,,8.9,,,,,,,190.0,,,10.0,,,,,,Belhalm tarn
47552,1964-10-27,1964,10,27,301,51,,7.72,,,,,,,190.0,,,11.45,,,,,,Windermere -south basin
