lake_lat,lake_long,lake
54.75,-113.55,Baptiste lake S.
54.783,-113.55,Baptiste lake N.
61.324,14.292,Bösjön
55.486,13.32,Börringesjön
57.916,18.936,Bästeträsk
56.246,14.378,Bäen
57.793,14.168,Vättern -jönköping
59.719,17.816,Valloxen
59.859,16.084,Virsbosjön
53.496,-112.979,Antler lake
57.315,15.572,Virserumssjön
57.223,14.615,Allgunnen
57.951,16.088,Allgjuttern
46.038,-89.701,Allequash lake
52.39,-113.199,Alix lake -centre
59.837,15.55,Övre Skärsjön
60.168,15.227,Övre Hillen
62.241,12.76,Övre Fjätsjön
59.402,12.995,Överudssjön
55.874,13.49,Östra Ringsjön
59.698,16.196,Östersjön
59.733,12.753,Örvattnet
57.127,13.168,Örsjön
58.172,16.215,Öjsjön
56.333,15.141,Årsjön
59.912,15.986,Åmänningen
59.206,17.088,Älgsjön
57.176,14.273,Älgarydssjön
61.581,12.752,Särnamannasjön E.
60.582,16.854,Storsjön -stensängsholmen
53.615,-112.92,Adamson lake
50.715,-99.791,Whirlpool lake
55.556,13.252,Yddingesjön
56.669,15.569,Getasjön
56.564,15.539,Törn
56.863,14.82,Växjösjön mitt
56.861,14.827,Trummen mitt
49.46,-93.49,Experimental lake 442
49.45,-93.48,Experimental lake 373
56.865,14.758,Bergundasjön N.
56.845,14.783,Bergundasjön S. 
49.41,-93.44,Experimental lake 239
49.41,-93.43,Experimental lake 224
49.4,-93.45,Experimental lake 114
56.479,15.588,Västersjön
59.282,15.339,Hemfjärden
56.535,15.601,Kyrksjön
45.613,-79.009,Central long lake
46.21,-89.474,Crampton Lake
49.113,-89.484,Tuesday lake
56.197,-3.372,Loch leven
52.745,1.497,Barton broad E.
52.736,1.499,Barton broad outflow
52.724,1.486,Alderfen broad N.
52.722,1.514,Cromes broad
52.705,1.443,Hoveton little broad
52.706,1.448,Hoveton little broad E.
52.686,1.468,Cockshoot broad
52.685,1.483,Ranworth broad
52.699,1.416,Wroxham broad
52.672,1.508,South walsham broad
52.662,1.638,Filby broad
52.682,1.647,Ormesby broad
52.678,1.641,Rollesby broad
52.669,1.641,Ormesby little broad
52.741,1.627,Horsey mere
52.74,1.581,Hickling broad
52.726,1.605,Heigham sound
52.724,1.64,Martham south broad
52.666,1.533,Upton great broad
52.598,1.439,Wheatfen broad
52.593,1.442,Rockland broad
52.666,-0.672,Rutland water -north buoy
52.648,-0.659,Rutland water -south buoy
52.656,-0.624,Rutland water -tower
51.995,1.111,Alton water
52.663,-1.941,Anglesey outflow
50.659,-1.962,Littlesea lake
51.505,-0.169,Bathing water
49.892,-0.609,Enclosed water
52.726,1.481,Alderfen inflow
52.66,-0.682,Rutland water -hambleton south
52.871,-2.848,Crose mere S.
52.778,-2.333,Aqualate mere
52.91,-2.889,Techill mere
51.079,-2.09,Fonthill lake -outlet
51.18,-2.212,Shearwater lake outflow
51.34,-2.711,Blagdon lake
51.783,-0.218,Stanborough sailing lake
51.67,-1.909,Cotswold lake 12
51.668,-1.907,Cotswold lake 12 outflow
52.75,1.498,Barton broad inflow
52.665,1.53,Upton great broad -edge
53.352,-2.38,Rostherne mere
53.318,-2.368,Tatton mere
53.244,-2.671,Hatch mere
53.028,-2.376,Betley mere
54.45,-3.026,Grasmere -england
54.353,-3.066,Coniston water
54.429,-3.035,Elterwater -inner basin
54.655,-3.221,Bassenthwaite -england
54.563,-2.93,Ullswater -wfd
54.505,-2.924,Brotherswater
53.062,-2.688,Chapel mere
53.205,-2.639,Oak mere
53.33,-2.402,Mere mere -edge
54.517,-3.356,Ennerdale water -wq survey
54.584,-3.357,Loweswater -wq survey
53.025,-2.692,Bar mere
53.202,-2.636,Oak mere -intersection
54.55,-2.945,Ullswater -south buoy
54.561,-3.068,Thirlmere -stillwater
54.523,-3.373,Ennerdale water -stillwater
54.427,-3.319,Wastwater -stillwater
54.536,-3.28,Buttermere
54.579,-3.351,Loweswater
54.181,-2.801,Hawes water -stillwater
54.427,-3.023,Elterwater -stillwater
54.274,-2.955,Windermere -stillwater
54.3,-3.093,Coniston water -stillwater
54.925,-2.711,Talkin tarn
54.429,-3.03,Elterwater -middle basin
54.428,-3.025,Elterwater -outer basin
53.291,-2.418,Tabley mere
52.995,-2.601,Comber mere
54.464,-2.501,Sunbiggin tarn
54.53,-3.006,Red tarn -stillwater
54.501,-3.003,Grisedale tarn
54.429,-3.092,Blea tarn
53.323,-2.369,Tatton mere -wfd
52.723,1.483,Alderfen broad -edge
52.723,1.514,Cromes broad
52.683,1.487,Ranworth broad
52.698,1.414,Wroxham broad -edge
52.672,1.507,South walsham broad -edge
52.814,-1.441,Carr
55.021,-2.334,Bromlee lough overflow
50.93,0.739,Castle water
50.958,0.958,Greatstone lake
50.875,-1.779,Mockbeggar lake
50.863,-1.787,Snails lake
51.45,-0.549,Silverwings lake -wraysbury
51.463,-0.55,Kingsmead lake
51.719,-0.019,Turnford marsh lake
52.072,-0.526,Stewartby lake
52.517,0.819,Thompson water
52.692,1.426,Hoveton great broad -edge
52.542,1.508,Hardley flood
52.542,1.653,Fritton lake -country park
52.672,-0.366,Tallington lakes
52.402,-0.542,Thrapston lake
52.665,1.538,Upton little broad
53.25,-1.135,Great lake
52.896,-1.24,Attenborough
54.092,-2.163,Malham tarn
54.52,-3.373,Ennerdale water -bowness knott
54.579,-3.146,Derwentwater -england
54.316,-2.951,Winderemere -south basin (wfd)
54.449,-3.019,Grasmere -stillwater
54.401,-2.956,Windermere -north basin (wfd)
50.927,0.744,Nook lake
51.303,1.146,Westbere lakes point 1
51.305,1.17,Great puckstone lake
51.35,0.772,Murston angling lake
51.301,1.142,Westbere lakes
50.945,0.756,North point lake
51.296,1.134,Fordwich lake
51.408,-0.596,Virginia water
51.408,-0.51,Fleet lake
51.425,-1.016,Burghfield lake
51.477,-0.923,Sonning eye lake
51.706,-0.017,Turnershill marsh
51.693,-0.025,Bowyers water
52.048,-0.569,Brogborough lake E.
52.32,-1.32,Draycote water
53.07,-1.63,Carsington water ramp
55.188,-2.464,Kielder water
53.353,-2.372,Rostherne mere -outlet
51.068,0.394,Bewl water
50.51,-4.573,Colliford lake
54.168,-2.308,Newhouses tarn
54.1,-2.167,Malham tarn W.
53.143,-2.423,Crabmill flash
51.076,0.387,Bewl bridge
52.698,1.447,Decoy broad
52.547,1.689,Fritton lakes -lound mill
52.963,-1.536,Kedleston park lake
52.811,-1.432,Melbourne lake
53.048,-1.635,Carsington water
52.863,-2.292,Cop mere
54.923,-2.611,Tindale tarn
54.398,-2.975,Belham tarn -england
53.029,-2.374,Betley mere jetty
54.521,-3.376,Ennerdale water -lakes tour
54.555,-3.302,Crummock water
54.438,-3.301,Wastwater -lakes tour
54.518,-2.808,Hawes water -lakes tour
54.431,-3.014,Loughrigg tarn
54.529,-3.055,Thirlmere -lakes tour
54.49,-2.849,Blea water
54.421,-3.067,Little langdale tarn
54.391,-3.032,Tarn hows
50.565,-3.643,Stover -lake output
50.948,-2.503,Sherborne lake
52.913,-2.885,Mere ellesmere
51.346,-1.353,Mildford lake
52.713,1.46,burnt fen broad S.
54.283,-2.122,Semer water
54.447,-2.984,Rothay
53.331,-2.403,Mere mere
52.895,-2.851,Cole mere
52.893,-2.875,White mere
55.019,-2.366,Greenlee lough
54.363,-2.988,Esthwaite water -lakes tour
50.873,-1.78,Rockford lake
52.697,1.428,Hoveton great broad
52.698,1.424,Hudson's bay E.
55.006,-2.362,Crag lough
