Lake,lat,long
Säbysjön,57.9875678,14.9332174
Hemfjärden,59.28158192,15.33852571
Hjulstabron V,59.53229,17.008992
S. Vidöstern,56.97891061,13.98442141
S. Björkfjärden SO,59.29018587,17.51992707
S. Barken,60.00868313,15.65115014
"S Dellen, D 100",61.79128536,16.67796028
Rusken,57,14
Rundbosjön,58.80859,17.36908
RUDYARD RESR WFD + FWF STILLWATERS,53.12243332,-2.07505995
Hulingen,57.47814288,15.85610411
"Roxen Li15, centrala delen",58.51387579,15.63961215
ROCKY ISLAND LAKE (E59): RAMP CM2 - COMPOSITE - (AB07JF0060),59.13313,-115.13334
ROCK LAKE - COMPOSITE - (AB07AC0160),53.46029,-118.26896
ROCK ISLAND LAKE - COMPOSITE - (AB07CB0800),55.49167,-113.38333
ROCHE LAKE - COMPOSITE - (AB07BK0300),54.76611,-114.90583
REESOR LAKE RESERVOIR - COMPOSITE - (AB11AB0030),49.66667,-110.11667
RED DEER LAKE - EUPHOTIC COMPOSITE - (AB05FA2070),52.72625,-113.06556
RAY LAKE - COMPOSITE - (AB07HC0110),56.6625,-119.12417
RATTLESNAKE (SAUDER) LAKE - COMPOSITE - (AB05AH0120),50,-110.96667
Rasjön mitt,57.58163572,13.90440045
Ramsjön,60.07563654,17.43763294
Rammsjön,58,16.54998258
Ralången,58,15
"Råbelövssjön, södra delen",56.08926,14.22281
RABBIT LAKE (L16) - COMPOSITE - (AB07DB0160),57.03694,-112.945
Huskvarna,Â 57.80322,14.26526
R BLITHE - BLITHFIELD RESERVOIR CAUSEWAY,52.8121815,-1.91509206
Prospect Point,53.919999,-106.104533
PRIMROSE LAKE - SOUTH BASIN COMPOSITE - (AB06AF0200),54.7875,-110.03056
PRIMROSE LAKE - NORTH BASIN COMPOSITE - (SA06AF0130),54.90111,-109.63389
PRESTON DOCKS LARGE BASIN SPT 1,53.75773231,-2.75022935
Prästfjärden,59.42695204,17.4265734
POLICE OUTPOST LAKE - COMPOSITE - (AB05AE0090),49.00962,-113.45541
PINEHURST LAKE - MAIN - COMPOSITE - (AB06AB0260),54.65872,-111.46729
PINE LAKE - SOUTH SIDE REGION COMPOSITE - (AB05CE0910),52.06833,-113.40972
PINE LAKE - NORTH SIDE REGION COMPOSITE - (AB05CE0980),52.06833,-113.40972
PINE LAKE - MIDDLE REGION COMPOSITE - (AB05CE0950),52.06833,-113.40972
PINE LAKE - COMPOSITE - (AB05CE0920),52.10333,-113.45417
PIGEON LAKE - COMPOSITE - (AB05FA0480),53,-114.01667
PIERCE LAKE - COMPOSITE - (SA06AF0230),54.50917,-109.72194
PETER'S DUGOUT - COMPOSITE - (AB07BE0430),54.56666,-113.55
Peter Lake,46.25,-89.5
PEERLESS LAKE - COMPOSITE - (AB07JB0175),56.66397,-114.68008
Paul Lake,46.25,-89.5
PARK LAKE - COMPOSITE - (AB05AD1404),49.80556,-112.92778
PAKOWKI LAKE - WEST OF BERM COMPOSITE - (AB05AF0490),49.375,-111.0625
PAKOWKI LAKE - COMPOSITE - (AB05AF0060),49.33333,-110.91667
PAKOWKI LAKE - CENTRAL ZONE COMPOSITE - (AB05AF0460),49.34583,-110.92778
PAINE LAKE - COMPOSITE - (AB05AD0870),49.10941,-113.64805
